wins,loss
28,16
26,10
38,0
27,14
12,0
42,7
41,31
27,0
41,7
27,23
19,17
18,10
17,3
16,10
27,7
37,10
24,10
24,14
21,20
13,7
27,24
27,24
17,6
13,10
20,19
30,21
31,7
17,9
31,21
24,12
21,17
24,17
27,0
6,3
38,24
20,3
13,10
34,3
31,14
17,6
31,14
16,12
17,10
34,14
56,17
19,0
38,17
38,17
27,21
30,21
20,0
30,10
38,7
7,3
26,10
23,10
15,13
31,20
24,21
28,13
19,17
27,3
24,20
16,7
30,28
21,20
26,14
23,21
27,13
30,10
26,0
20,10
24,14
24,7
38,10
28,0
35,7
31,10
24,14
27,7
31,14
37,3
28,20
16,3
20,14
16,14
27,16
31,28
41,3
37,34
14,13
20,17
17,14
17,14
17,13
35,16
27,24
20,17
21,20
20,3
27,23
27,13
26,20
19,13
17,3
41,14
30,14
47,34
17,13
19,16
29,14
27,10
24,0
24,3
16,10
24,14
20,3
24,21
30,3
34,0
41,3
23,7
24,13
19,14
27,14
21,9
20,14
31,17
16,13
27,3
16,13
22,14
37,21
24,17
20,14
28,17
6,0
38,10
27,3
28,7
28,10
31,27
27,21
31,27
24,7
27,17
19,0
30,6
35,7
10,6
20,17
27,20
24,14
20,17
20,17
27,10
37,14
16,14
20,7
35,21
21,14
20,10
6,3
17,13
20,16
28,13
16,13
17,14
36,14
16,3
10,6
19,17
41,17
20,0
21,20
21,17
23,13
20,10
16,13
27,7
42,20
31,14
38,27
27,14
7,3
27,3
24,6
24,7
17,0
41,38
36,20
24,3
20,13
34,10
31,0
29,10
30,20
52,17
27,14
38,14
27,3
24,13
23,17
26,20
36,6
30,13
24,20
26,20
18,12
24,7
33,21
35,16
9,6
34,31
17,10
30,0
23,7
19,16
10,7
20,17
13,10
27,0
24,14
34,17
17,13
23,13
17,14
14,3
34,7
34,31
20,10
37,30
18,17
19,16
17,10
15,7
47,17
22,13
28,13
15,13
26,20
23,10
19,10
16,13
45,7
45,17
36,14
6,0
27,10
24,9
38,19
31,14
37,6
35,30
35,13
17,14
17,10
27,3
24,14
41,7
17,6
15,0
17,15
23,21
24,20
16,3
30,27
35,7
30,24
28,17
37,14
21,10
28,14
30,10
36,6
17,14
26,17
23,20
26,15
37,14
28,12
19,10
28,23
28,14
10,9
16,13
41,27
19,12
9,6
31,24
10,6
30,10
17,3
20,17
40,17
30,23
23,10
28,17
30,27
24,10
29,14
24,16
24,14
13,10
30,17
23,0
31,9
16,14
27,10
16,3
30,24
23,16
20,15
38,3
45,21
19,14
20,6
19,17
31,17
22,5
13,0
31,20
26,23
16,13
23,0
27,20
23,9
27,14
17,12
17,13
19,17
26,17
12,7
10,6
7,3
37,13
23,10
42,7
10,6
16,14
17,14
17,14
6,0
17,14
13,10
16,10
17,9
35,10
19,17
23,7
23,3
31,0
17,13
30,17
25,24
23,17
17,14
33,17
9,6
13,0
31,16
13,10
19,14
38,10
21,8
23,17
3,0
27,24
13,10
10,7
19,17
20,6
7,2
23,20
21,14
27,23
37,20
27,21
20,13
21,20
13,3
28,7
15,3
30,17
26,17
47,34
21,17
20,17
30,27
27,20
28,24
55,17
20,10
24,14
10,7
20,14
16,14
37,26
38,0
28,0
21,17
16,6
42,14
17,10
38,3
17,6
30,10
45,20
14,9
30,10
27,10
16,9
16,13
33,27
34,24
30,20
32,17
20,6
33,30
20,13
24,0
37,34
27,24
28,24
17,10
42,24
29,23
44,3
27,17
28,20
30,13
38,21
30,13
28,20
21,9
28,7
28,23
30,17
16,10
31,28
45,21
23,3
14,12
26,9
39,35
37,34
44,14
17,10
31,13
24,10
38,35
10,3
24,17
24,14
27,10
38,9
25,22
38,24
20,17
20,17
30,22
31,28
42,14
9,7
31,21
13,7
15,7
28,14
32,0
24,10
34,19
31,23
48,16
30,10
20,17
30,3
21,14
27,20
38,35
16,0
23,17
24,13
26,24
20,13
30,13
19,7
27,20
27,7
34,7
24,14
17,16
17,15
20,13
40,8
8,5
27,22
17,7
23,7
30,14
17,7
21,11
34,13
16,6
24,17
27,21
16,9
20,6
21,17
38,3
21,17
27,10
11,8
27,17
42,3
19,16
14,10
24,17
20,17
17,10
36,22
24,13
31,28
13,10
41,27
37,13
10,6
37,34
38,23
21,16
41,16
20,15
30,17
28,21
21,6
23,20
44,10
31,29
28,25
28,25
36,13
35,15
17,14
23,3
26,14
20,17
33,6
38,30
10,9
37,22
20,6
12,9
21,20
22,21
13,6
20,17
27,21
17,7
22,17
13,3
38,10
34,31
26,7
10,9
26,20
33,32
17,14
14,13
17,10
21,14
20,17
17,10
14,9
23,10
17,13
20,10
29,20
16,13
23,17
20,13
31,7
22,21
24,19
31,21
32,28
12,6
31,27
13,10
35,21
42,31
28,21
28,24
20,17
34,10
21,19
10,9
31,17
21,3
15,13
19,16
12,10
35,14
33,27
38,15
26,21
31,19
24,13
16,13
50,14
31,19
31,15
30,12
20,17
34,31
42,31
24,17
18,7
19,14
24,14
14,3
27,20
28,13
40,3
21,17
38,15
23,13
16,14
17,15
29,20
45,28
41,19
42,19
41,17
17,14
21,6
21,17
27,13
17,7
16,13
31,9
28,7
10,6
17,16
24,16
33,30
13,3
10,6
34,19
15,10
10,9
35,9
37,34
24,21
19,9
24,10
30,28
27,20
21,14
16,12
27,17
20,13
35,18
29,9
44,15
35,9
22,21
17,13
38,28
49,26
24,21
23,20
23,20
21,6
17,14
24,22
10,3
17,14
31,14
27,7
34,10
17,7
52,14
22,7
35,0
22,6
31,9
20,8
17,13
34,17
20,3
20,10
20,17
24,17
41,10
14,10
27,24
31,21
31,19
27,24
31,10
20,14
27,21
14,7
27,24
23,17
14,6
20,17
38,31
25,6
28,3
24,21
27,10
23,17
23,10
14,6
34,28
44,24
45,29
35,17
38,28
13,3
17,6
48,17
34,20
24,14
27,24
26,23
20,13
30,17
27,23
15,10
21,18
20,6
27,10
31,16
17,16
24,3
47,10
22,19
34,24
31,27
29,10
19,16
37,34
23,17
20,16
34,14
27,21
27,24
38,20
37,3
29,23
21,19
27,21
20,17
17,14
31,26
30,27
30,21
18,17
26,15
23,9
33,30
24,20
27,0
27,9
35,32
20,3
36,30
24,21
17,16
38,21
23,15
35,25
44,10
30,17
21,7
27,14
17,10
29,26
28,13
24,7
20,9
20,17
24,16
11,7
19,7
23,6
20,14
24,15
14,6
34,22
20,7
19,10
27,24
24,3
16,10
37,10
20,17
37,34
13,7
30,28
38,6
24,14
34,12
23,17
28,17
32,25
17,13
17,14
34,17
47,30
35,28
27,24
38,20
30,24
22,7
31,13
20,3
24,17
27,7
31,6
27,20
17,16
28,19
24,10
31,20
49,31
34,21
28,26
43,24
30,27
20,13
44,20
44,38
24,12
35,25
14,7
27,24
17,13
35,13
36,28
41,13
16,10
42,33
40,37
20,17
34,26
12,6
10,6
13,10
21,7
23,20
31,17
31,17
21,20
24,10
24,17
26,14
31,13
29,23
31,23
27,17
27,7
27,11
28,25
19,14
45,27
20,17
24,17
31,28
41,31
16,10
31,10
29,10
20,13
31,27
13,10
13,6
41,27
34,23
23,20
35,23
21,20
23,6
44,0
26,10
31,10
21,17
20,17
21,20
27,24
44,10
37,30
27,17
37,10
10,7
12,0
26,3
24,21
24,19
27,24
20,14
28,17
28,27
20,17
41,22
31,28
37,13
37,22
58,37
